index,statement,label
147,The wealth gap between blacks and whites in the United States is greater than the black-white wealth gap was in apartheid South Africa.,1
148,"On the last night of the General Assembly, by 11 oclock 95 to 98 percent of the business was done. So we really didnt have that late-night session. We were just holding on one bill.",1
149,"Mike Madigan made a fortune on tax appeals Saving his friends millions... Its an inside game played by people like Merry Marwig, Madigans hand-picked candidate. When Marwig thought her property taxes were too high she got them lowered at your expense. Saved so much she did it again. Marwig and Madigan: Profiting from the same corrupt system.",1
150,Amnesty Warns Against Using White Phosphorus In Mosul Operation,1
151,"Turkeys today weigh 29.8 pounds. In the 30s, they weighed 13.2 pounds.",0
152,"In South Florida, weve had nine inches of sea-level rise since the 1920s.",0
153,Trump promises $100 Billion to Black and Latino communities,1
154,New World Order Globalist Soros Is The Hidden Hand Behind Trump Protests And Riots,1
155,Wayne Allen Root “It’s Trump or it’s the End of America” | Follow Trump,1
156,Says he has engaged in the political process only in the past decade.,1
157,Says Donald Trump brings in hundreds of foreign workers to replace Americans.,0
158,Olympic Ban Adds to Russia’s Culture of Grievances - The New York Times,0
159,"""I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months.""",0
160,The Wisconsin school voucher program has no research that shows that its going to improve student learning.,0
161,Travis County is surrounded by red counties.,0
162,Says Hillary Clintons been very clear where she stands on trade.,1
163,"U.S. Presses for Truce in Syria, With Its Larger Policy on Pause - The New York Times",0
164,A record number of Hispanics were elected to the U.S House of Representatives...,0
165,Wisconsin Gov. Scott Walkers budget okays disposing of unclaimed pound dogs to university research facilities.,1
166,Obamacare medical device tax has led to the loss of thousands of jobs in U.S.,0
167,Says that you cant destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.,1
168,Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?,1
169,"Of every three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.",1
170,Elon Musk Ted Talk Claims Teslas Traveling Coast to Coast by Year End - Breitbart,0
171,Four (maybe five) Latinos have served on the Austin City Council.,0
172,State employees havent received a raise in five or six years.,0
173,We lock up close to 2.4 million people in this country. Were locking up more people than China and Russia.,0
174,Michael Moore Wants A Spot in Hillary’s Cabinet,1
175,"I delivered a flat tax for my state. I took my state to No. 1 in job creation. With all due respect to what Rick Perry has said about Texas, we did a little bit better.",0
176,"According to The Book of Revelations the anti-christ ... will be a man, in his 40s, of MUSLIM descent ... is it OBAMA??",1
177,All University of Texas student-athletes get an iPad.,1
178,"The Florida House is ""holding the FINAL public hearing"" of a controversial education bill in the middle of spring break...""when they hope (teachers) are not watching or listening.""",1
179,VA fails to properly examine thousands of veterans,1
180,Says the federal government threatened to impose a no-fly zone in Texas if state legislators bar airport security officials from performing pat-downs.,0
181,"The Obama White House is renaming Christmas trees ""holiday trees.""",1
182,"""The truth is any oil that would be drilled could be sent to any other country in the world, reducing our use of foreign oil not by one single drop.""",0
183,"The U.S. Army had a training program that put evangelical Christians, Catholics and Mormons in the same category of religious extremism as we do al-Qaida.",1
184,"Many of (Hillary Clintons) friends took bigger deductions (than me). Warren Buffett took a massive deduction. (George) Soros, who is a friend of hers, took a massive deduction.",1
185,Two years after the worst recession most of us have ever known ... corporate profits are up.,0
186,Says that the federal gas tax has not been raised since 1993.,0
187,"Comment on 10 More Beautiful Images That Remind You We Still Live In A Beautiful World, With Beautiful People by 10 More Beautiful Images That Remind You We Still Live In A Beautiful World, With Beautiful People - Upside Down Media",1
188,White House spokesman Robert Gibbs lied when he said President Obamas birth certificate is posted on the Internet.,1
189,(T)he United States government and its Constitution says that people can be put to death.,0
190,Says a majority of Americans -- and Republicans -- support his approach for deficit reduction.,0
191,"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",0
192,Barack Obama opposed a bill that would have saved Gianna Jessen's life.,1
193,"Why Everyone on Facebook Is Checking into Standing Rock, North Dakota",1
194,Wisconsin now ranks among the top 10 states for out-migration.,1
195,"""Let's not blame President Bush for all of this. We've got a Congress who sat around on their hands and done nothing but spend a lot of money ... leaving us $9-trillion in debt that we're passing on to our grandchildren.""",0
196,"We were one of the first states in the U.S. to build sewers, to bring the treatment plant on line.",0
197,"As More Devices Board Planes, Travelers Are Playing With Fire - The New York Times",0
198,Welcome to the Trump World Order      : Information,1
199,Six justices on the U.S. Supreme Court have been confirmed in presidential election years since 1912.,0
200,Ann Coulter Tweet About Alleged Illegal Immigrant Rape Flagged as ’Hate Speech’ by Twitter - Breitbart,0
